domain,guideline,vignette,item_author_notes,validator_guideline,validator_notes,question_type,hypothesis,new_information,effect_phrase,options,author_notes,validator_selected_option
,,,,,,management,initiating a strict gluten-free diet and providing written materials only.,The patient expresses confusion about hidden gluten sources and is feeling overwhelmed by the diagnosis.,this plan becomes,"+2, +1, 0, -1, -2","British guidelines mandate referral to a specialist dietitian. Given the patient's expressed anxiety and the complexities of a GFD, providing only written materials is inadequate and inappropriate. (-2)",
,,,,,,followup,planning an annual review focused solely on repeating celiac serology.,A baseline DEXA scan reveals osteopenia with a T-score of -1.8 at the femoral neck.,this plan becomes,"+2, +1, 0, -1, -2","Annual review should be comprehensive, including nutritional status (iron, B12/folate) and bone health management, especially with known osteopenia. A serology-only plan is dangerously incomplete. (-2)",
Celiac_Disease,british,"A 28-year-old woman presents to the gastroenterology clinic with an 18-month history of intermittent, non-bloody diarrhea, abdominal bloating, and profound fatigue. She has a personal history of type 1 diabetes, diagnosed in her teens, and a family history of autoimmune thyroid disease in her mother. She has noted unintentional weight loss of 5 kg over the past year despite a good appetite. Initial blood tests ordered by her GP revealed a microcytic anemia (Hb 10.8 g/dL, MCV 78 fL). Serological testing for celiac disease showed an IgA tissue transglutaminase (tTG) level of 85 U/mL (normal <10 U/mL), with a normal total serum IgA level. An upper endoscopy with duodenal biopsies has been scheduled to confirm the diagnosis, as per standard adult guidelines. She is currently consuming a normal, gluten-containing diet.","This case assesses nuanced interpretation of diagnostic findings, management priorities, and the approach to non-responsive symptoms in a typical adult presentation of celiac disease.",,,diagnosis,a definitive diagnosis of celiac disease based on the strong serology and symptoms.,Duodenal biopsies show Marsh 1 changes (increased intraepithelial lymphocytes) but with preserved villous architecture.,this hypothesis becomes,"+2, +1, 0, -1, -2","Marsh 1 findings are non-specific and are not diagnostic for celiac disease on their own. This makes a definitive diagnosis less likely despite the positive serology, requiring further consideration. (-1)",
,,,,,,management,advising the patient to start a strict gluten-free diet following definitive diagnosis.,"The patient's initial DEXA scan, done to assess bone health, reveals osteoporosis with a T-score of -2.7 at the lumbar spine.",this plan becomes,"+2, +1, 0, -1, -2",Osteoporosis is a significant complication of malabsorptive celiac disease. This finding underscores the urgency and necessity of starting the definitive treatment (GFD) to improve bone mineral density. (+2),
,,,,,,followup,scheduling a routine annual review with a dietitian and repeat serology to monitor progress.,"At her 6-month follow-up, she reports excellent dietary adherence but continues to experience significant bloating and fatigue.",this plan becomes,"+2, +1, 0, -1, -2","Persistent symptoms despite a reported strict GFD suggest non-responsive celiac disease. A routine annual review is insufficient; an expedited, more thorough investigation is now required. (-2)",
Celiac_Disease,british,"A 28-year-old woman presents with a one-year history of intermittent, non-bloody diarrhea, abdominal bloating, and profound fatigue. She has also been treated for iron deficiency anemia by her GP without a clear source of blood loss identified. Her past medical history is unremarkable, although her mother has autoimmune thyroiditis. Physical examination is normal, with a BMI of 19.5 kg/m². Initial blood tests confirm a microcytic anemia with Hb 10.8 g/dL and ferritin 12 ng/mL. Celiac serology was performed, revealing a weakly positive IgA tissue transglutaminase (tTG) of 15 U/mL (normal <10 U/mL). Her total IgA level is within the normal range. She is referred to gastroenterology for further evaluation and management. The patient is anxious for a clear diagnosis and wants to know what steps are next.","This SCT item assesses the diagnostic pathway for celiac disease with weak serology, the importance of correct sequencing in management, and how follow-up plans must adapt to new findings like osteoporosis.",,,diagnosis,a definitive diagnosis of celiac disease.,Duodenal biopsy reveals Marsh 3c villous atrophy with increased intraepithelial lymphocytes.,this hypothesis becomes,"+2, +1, 0, -1, -2",The combination of positive serology (even if weak) and characteristic histological findings of severe villous atrophy on duodenal biopsy confirms the diagnosis of celiac disease in an adult. (+2),
,,,,,,management,initiating a strict gluten-free diet and referring to a specialist dietitian.,The patient reports feeling much better after empirically starting a gluten-free diet two weeks before her appointment.,this action becomes,"+2, +1, 0, -1, -2","Starting a gluten-free diet before a confirmatory biopsy is obtained is inappropriate as it can lead to false-negative histological results, complicating a definitive diagnosis. (-2)",
,,,,,,followup,planning an annual follow-up with repeat serology to monitor dietary adherence.,Her initial DEXA scan at diagnosis reveals a T-score of -2.7 at the lumbar spine.,this plan becomes,"+2, +1, 0, -1, -2","While annual review is standard, the new finding of osteoporosis requires a more comprehensive plan including calcium/vitamin D supplementation and consideration of bisphosphonates. The original plan is now insufficient. (-1)",
Celiac_Disease,british,"A 42-year-old woman is referred by her GP for investigation of persistent fatigue and microcytic anemia (Hb 10.8 g/dL, MCV 76 fL). She has a background of well-controlled autoimmune thyroiditis on levothyroxine. She reports intermittent bloating and loose stools for the past year, which she had attributed to stress. There is no significant weight loss or family history of gastrointestinal disease. Initial investigations confirmed iron deficiency with a ferritin of 12 ng/mL. Celiac serology was performed, revealing an IgA tissue transglutaminase (tTG) level of 15 U/mL (reference <10 U/mL). Her total serum IgA level is within the normal range at 210 mg/dL (reference 70-400 mg/dL). She is anxious about the possibility of having a chronic condition and is awaiting a gastroenterology consultation to discuss the next steps. Her current symptoms are manageable but impacting her quality of life.","This case focuses on a common presentation of celiac disease with weakly positive serology, requiring careful diagnostic confirmation and management planning according to BSG guidelines before initiating lifelong treatment.",american,The item is clinically sound. The ACG (American) guideline strongly aligns with the BSG (British) on these fundamental points. Both mandate biopsy for confirmation in adults with low-positive serology. A normal biopsy (Marsh 0) rules out active disease (-2). Initiating a gluten-free diet before biopsy is contraindicated as it confounds diagnosis (-2). The presence of a significant complication like osteoporosis makes standard annual follow-up even more essential (+2). No major conflicts between guidelines noted.,diagnosis,concluding she has a definitive diagnosis of active celiac disease.,Duodenal biopsy histology shows Marsh 0 classification (normal mucosa with no increase in intraepithelial lymphocytes).,this hypothesis becomes,"+2, +1, 0, -1, -2","The British Society of Gastroenterology guideline states duodenal biopsy is essential for diagnosis in adults. A normal (Marsh 0) biopsy effectively rules out active celiac disease, despite the weakly positive serology. (-2)",-2.0
,,,,,,management,referring her to a specialist dietitian to immediately commence a strict gluten-free diet.,She has not yet undergone an upper endoscopy and duodenal biopsy to confirm the diagnosis.,this action becomes,"+2, +1, 0, -1, -2","Starting a gluten-free diet before a definitive biopsy is contraindicated as it can cause histological improvement, confounding the diagnosis. Histological confirmation is mandatory before committing to a lifelong diet. (-2)",-2.0
,,,,,,followup,planning an annual review including repeat serology and nutritional blood tests.,She is found to have significant osteoporosis on her baseline DEXA scan at diagnosis.,this plan becomes,"+2, +1, 0, -1, -2",Annual review is standard care for celiac disease. The presence of a significant complication like osteoporosis makes this routine monitoring even more critical to ensure dietary adherence and manage bone health. (+2),2.0
Celiac_Disease,british,"A 42-year-old woman with a 15-year history of well-controlled type 1 diabetes presents with persistent bloating, intermittent diarrhea, and profound fatigue for the past year. She has no significant family history of gastrointestinal disease. Her primary care physician noted a new microcytic anemia with a hemoglobin of 10.8 g/dL and a ferritin of 12 ng/mL. Celiac serology was performed, revealing a positive IgA tissue transglutaminase (tTG) at 85 U/mL (normal <10 U/mL) and a normal total IgA level. An upper endoscopy showed scalloping of the duodenal folds. Duodenal biopsies subsequently confirmed subtotal villous atrophy with crypt hyperplasia and increased intraepithelial lymphocytes, consistent with Marsh 3b classification. The diagnosis of celiac disease is communicated to the patient, and she is eager to start treatment and feel better.","This case assesses key aspects of celiac disease management according to UK guidelines, including the definition of refractory disease, indications for bone health assessment, and the comprehensive nature of annual follow-up.",,,diagnosis,the patient has refractory celiac disease type 1.,her symptoms have been present for over 12 months prior to diagnosis.,this hypothesis becomes,"+2, +1, 0, -1, -2",Refractory celiac disease is defined by persistent symptoms despite a strict gluten-free diet for over a year. The duration of symptoms before diagnosis is irrelevant to this specific diagnosis. (-2),
,,,,,,management,referring her for a DEXA scan to assess bone mineral density.,the patient reports a recent wrist fracture from a minor fall last year.,this action becomes,"+2, +1, 0, -1, -2","A history of a fragility fracture in a patient with newly diagnosed celiac disease, a condition known to cause osteoporosis, makes bone density assessment essential per guidelines. (+2)",
,,,,,,followup,planning an annual review focused solely on serology and symptom assessment.,"at diagnosis, her baseline Vitamin D level was severely deficient.",this plan becomes,"+2, +1, 0, -1, -2","Guidelines recommend screening for and managing nutritional deficiencies. A known severe deficiency necessitates specific monitoring, making a plan focused only on symptoms and serology inadequate. (-1)",
Celiac_Disease,british,"A 42-year-old man, recently diagnosed with type 1 diabetes, is referred to gastroenterology for investigation of a six-month history of bloating, intermittent diarrhea, and an 8 kg weight loss. He also mentions a non-specific itchy rash on his elbows. His initial blood tests show a microcytic anemia with hemoglobin of 10.8 g/dL and ferritin of 12 ng/mL. Serological testing reveals a high IgA tissue transglutaminase (tTG) antibody level at 145 U/mL (normal <15 U/mL), with a normal total IgA. An upper endoscopy is performed, showing scalloping of the duodenal folds. Duodenal biopsies confirm the diagnosis of celiac disease with findings of marked villous atrophy and crypt hyperplasia, corresponding to Marsh 3b classification. He is attending his initial post-diagnosis consultation to discuss the findings and long-term management plan.","This case focuses on a newly diagnosed adult with celiac disease. The scenarios test the recognition of associated conditions (microscopic colitis), management of complications (osteoporosis), and essential preventative care based on potential complications (hyposplenism).",,,diagnosis,an additional diagnosis of microscopic colitis to explain his persistent diarrhea.,"After six months on a strict gluten-free diet, his anemia resolves but his watery diarrhea persists without any improvement.",this hypothesis becomes,"+2, +1, 0, -1, -2","Persistent diarrhea despite adherence to a gluten-free diet is a primary indication to investigate for alternative or concurrent diagnoses. Microscopic colitis is a known association, making this hypothesis much more likely. (+2)",
,,,,,,management,recommending a gluten-free diet with referral to a dietitian and starting iron supplementation.,"A baseline DEXA scan, performed due to his malabsorptive state, reveals a T-score of -2.7 at the lumbar spine, consistent with osteoporosis.",this plan becomes,"+2, +1, 0, -1, -2","The diagnosis of osteoporosis necessitates a more comprehensive management plan that includes vitamin D and calcium supplementation, and consideration of bisphosphonates. The initial plan is now insufficient. (-1)",
,,,,,,followup,a standard follow-up plan involving an annual review with symptom assessment and repeat serology.,"Review of his blood film from diagnosis reveals Howell-Jolly bodies, suggesting functional hyposplenism.",this plan becomes,"+2, +1, 0, -1, -2","Functional hyposplenism increases the risk of overwhelming infection from encapsulated bacteria. The follow-up plan must now include offering pneumococcal vaccination, making the standard plan incomplete and less appropriate. (-1)",
Celiac_Disease,british,"A 42-year-old woman presents with a two-year history of bloating, intermittent diarrhea, and profound fatigue. She has a personal history of autoimmune thyroiditis and a family history of type 1 diabetes. Initial blood tests reveal mild iron deficiency anemia with a hemoglobin of 11.2 g/dL and a ferritin of 12 ng/mL. Her primary care physician orders celiac serology. The results show an IgA tissue transglutaminase (tTG) of 35 U/mL (normal <15 U/mL) and a normal total IgA level of 210 mg/dL (normal 70-400 mg/dL). She is referred to a gastroenterologist for further evaluation and is currently consuming a normal, gluten-containing diet. She is anxious about the potential diagnosis and its implications for her lifestyle and future health. An upper endoscopy with duodenal biopsies is planned to confirm the diagnosis.","This case assesses the nuanced diagnostic pathway for celiac disease in adults, emphasizing the critical role of histology and the correct timing of management initiation. It also touches upon the approach to non-responsive celiac disease, a common clinical challenge.",american,"The item's clinical reasoning is sound and aligns well with American (ACG) guidelines, which are largely congruent with international standards on these core topics. The scenarios are realistic. The author's +2 for the followup question appears to be an error; non-responsive disease makes a 'standard annual review' highly inappropriate (-2), as a more urgent workup is needed.",diagnosis,a definitive diagnosis of celiac disease is confirmed.,The duodenal biopsy report shows only increased intraepithelial lymphocytes (Marsh 1 lesion) with normal villous architecture.,this hypothesis becomes,"+2, +1, 0, -1, -2","While positive tTG and a Marsh 1 lesion are suggestive, this is not specific enough for a definitive diagnosis in an adult, as other conditions can cause this. The hypothesis is less likely. (-1)",-1.0
,,,,,,management,initiating a strict gluten-free diet immediately after her initial consultation.,The patient is scheduled for her diagnostic upper endoscopy and duodenal biopsies in two weeks.,this action becomes,"+2, +1, 0, -1, -2","Starting a gluten-free diet before diagnostic biopsy is contraindicated. It can lead to normalization of serology and histology, confounding the diagnosis. This action is highly inappropriate. (-2)",-2.0
,,,,,,followup,scheduling a standard annual review to monitor symptoms and repeat serology.,"Six months into a dietitian-supervised gluten-free diet, her fatigue and bloating persist, and her tTG remains elevated.",this plan becomes,"+2, +1, 0, -1, -2",Persistent symptoms and elevated serology indicate non-responsive celiac disease. A standard annual review is insufficient; more urgent and detailed investigation is required to assess dietary adherence and rule out other causes. (+2),-2.0
Celiac_Disease,british,"A 45-year-old woman with a history of autoimmune thyroiditis was diagnosed with celiac disease 18 months ago via positive IgA tTG antibodies and a duodenal biopsy showing Marsh 3b villous atrophy. She attends her annual review, reporting strict adherence to a gluten-free diet, which was reviewed by a specialist dietitian three months prior. Despite this, she continues to experience intermittent bloating, abdominal cramps, and 2-3 loose stools daily. She also notes ongoing fatigue and has had an unintentional weight loss of 3 kg over the past six months. Her recent blood tests show a hemoglobin of 11.8 g/dL, ferritin of 18 ng/mL, and a persistently elevated IgA tTG of 25 U/mL (normal <15 U/mL). Her total IgA level is within the normal range. She is frustrated with her lack of progress and is seeking further guidance on management.","This case explores the common clinical challenge of non-responsive celiac disease. It tests the ability to prioritize differential diagnoses, from inadvertent gluten exposure to co-existing conditions and the more serious diagnosis of refractory disease, aligning with BSG guideline principles.",,,diagnosis,a diagnosis of refractory celiac disease type 1 as the cause of her current symptoms.,a detailed dietary history reveals she regularly consumes “gluten-free” oats from a brand that is not certified gluten-free.,this hypothesis becomes,"+2, +1, 0, -1, -2","The most common cause of non-responsive celiac disease is inadvertent gluten ingestion. Uncertified oats are a major source of gluten contamination, making this a far more likely explanation than refractory disease. (-2)",
,,,,,,management,arranging a hydrogen breath test to investigate for small intestinal bacterial overgrowth (SIBO).,a repeat endoscopy with duodenal biopsies shows persistent Marsh 3b villous atrophy with markedly raised intraepithelial lymphocytes.,this action becomes,"+2, +1, 0, -1, -2",Persistent severe villous atrophy indicates significant ongoing mucosal inflammation. The priority must be to investigate the cause of this active enteropathy (gluten exposure vs. refractory disease) rather than a secondary issue like SIBO. (-1),
,,,,,,followup,scheduling a DEXA scan to assess for osteoporosis as part of her ongoing care.,"her records show she had a DEXA scan at diagnosis 18 months ago, which revealed a normal bone mineral density (T-score -0.5).",this plan becomes,"+2, +1, 0, -1, -2","A normal DEXA scan was performed recently at diagnosis. While her ongoing malabsorption is a concern, repeating the scan so soon is generally not indicated unless new, significant risk factors have emerged. (-1)",
Celiac_Disease,british,"A 28-year-old woman with a 10-year history of well-controlled type 1 diabetes presents with 12 months of intermittent bloating, flatulence, and loose stools. She denies weight loss but feels persistently fatigued. Her diet is varied, and she has no family history of gastrointestinal disease. Initial investigations reveal a microcytic anemia with a hemoglobin of 10.8 g/dL (normal 12.1-15.1) and ferritin of 12 ng/mL (normal 13-150). Her liver function tests are normal. Celiac serology is requested: IgA tissue transglutaminase (tTG) is 15 U/mL (normal <10 U/mL) and total IgA level is within the normal range at 210 mg/dL (normal 70-400). She is anxious about the possibility of another lifelong condition and is seeking definitive answers and a clear management plan. An upper GI endoscopy is performed, and duodenal biopsies are taken. She is awaiting the histology results.","This item explores the nuances of diagnosing and managing celiac disease when initial serology is only weakly positive, a common clinical challenge. It tests the application of guidelines regarding confirmatory testing, dietary management, and long-term monitoring for complications.",american,"This is a clinically sound item. The American College of Gastroenterology (ACG) guideline perspective aligns well with the author's reasoning. A definitive diagnosis is less likely with low-positive tTG and non-specific Marsh 1 histology. A gluten-free diet is inappropriate with conflicting serology (negative EMA) and an unconfirmed diagnosis. The new history of fragility fractures makes a DEXA scan essential to evaluate for osteoporosis, a known complication of celiac disease.",diagnosis,a definitive diagnosis of celiac disease.,The duodenal histology report shows Marsh 1 changes (increased intraepithelial lymphocytes) but intact villous architecture.,this hypothesis becomes,"+2, +1, 0, -1, -2","Marsh 1 changes are non-specific and, combined with weakly positive tTG, are insufficient for a definitive adult diagnosis, which typically requires villous atrophy. (-1)",-1.0
,,,,,,management,"advising the patient to immediately commence a strict, lifelong gluten-free diet.","While awaiting biopsy results, IgA endomysial antibody (EMA) testing comes back negative.",this action becomes,"+2, +1, 0, -1, -2","With weakly positive tTG and negative, highly specific EMA, the diagnosis is uncertain. Committing to a lifelong gluten-free diet is inappropriate without a confirmed diagnosis. (-2)",-2.0
,,,,,,followup,arranging a DEXA scan to assess for osteoporosis at this initial presentation.,The patient reports a history of two low-trauma wrist fractures in the past five years.,this plan becomes,"+2, +1, 0, -1, -2","Guidelines recommend assessing bone health at diagnosis. The added history of low-trauma fractures significantly increases the clinical suspicion for osteoporosis, making a DEXA scan essential. (+2)",2.0
Celiac_Disease,british,"A 42-year-old female presents to the gastroenterology clinic with a six-month history of intermittent, non-bloody diarrhea, significant bloating, and profound fatigue. She reports an unintentional weight loss of 5 kg over this period. Her past medical history is notable for well-controlled Hashimoto's thyroiditis, for which she takes levothyroxine. There is no family history of inflammatory bowel disease or colorectal cancer. Initial laboratory investigations reveal a mild normocytic anemia with a hemoglobin of 11.2 g/dL (normal 12.0-15.5 g/dL) and a ferritin of 12 ng/mL (normal 15-150 ng/mL). Her liver function tests are unremarkable. Celiac serology was performed, showing an IgA tissue transglutaminase (tTG) level of 65 U/mL (upper limit of normal <10 U/mL). Her total serum IgA level is within the normal range. An upper endoscopy with duodenal biopsies has been arranged to confirm the suspected diagnosis.","This case assesses the nuanced management of a new celiac disease diagnosis in an adult, focusing on the standard diagnostic pathway, initial management priorities beyond diet, and appropriate long-term follow-up based on British Society of Gastroenterology guidelines.",american,"This is a well-constructed and clinically valid SCT item. The American College of Gastroenterology (ACG) guidelines align very closely with the British guidelines on these core points. The combination of serology and classic histology confirms the diagnosis. Expert dietitian referral is a cornerstone of management, irrespective of the patient's own attempts. The discovery of significant osteoporosis makes a follow-up plan that ignores bone health management clearly inadequate and inappropriate.",diagnosis,a definitive diagnosis of celiac disease is now established.,"Duodenal biopsies show Marsh 3b changes with villous atrophy, crypt hyperplasia, and increased intraepithelial lymphocytes.",this hypothesis becomes,"+2, +1, 0, -1, -2",The combination of positive serology (tTG) and classic histological findings (Marsh 3b) confirms the diagnosis of celiac disease in an adult according to BSG guidelines. (+2),2.0
,,,,,,management,referring the patient to a specialist dietitian for gluten-free diet education.,The patient mentions she has already started a strict gluten-free diet on her own two weeks ago after seeing her positive blood test.,this plan becomes,"+2, +1, 0, -1, -2","Referral to a specialist dietitian is mandatory for all new diagnoses of celiac disease. This ensures the diet is nutritionally complete, effective, and sustainable, regardless of patient pre-conceptions. (+2)",2.0
,,,,,,followup,planning an annual review with serology and symptom assessment only.,A baseline DEXA scan performed at diagnosis reveals osteoporosis with a T-score of -2.8 at the lumbar spine.,this plan becomes,"+2, +1, 0, -1, -2","The presence of osteoporosis, a known complication, means follow-up must also include monitoring and managing bone health. A plan limited only to serology and symptoms is now insufficient. (-1)",-2.0
Celiac_Disease,british,"A 34-year-old woman presents to her general practitioner with persistent fatigue and lethargy over the past year. She has a history of iron deficiency anemia diagnosed six months ago, which has not responded to oral iron supplementation. Her hemoglobin is currently 10.8 g/dL and MCV is 74 fL. She denies significant gastrointestinal symptoms such as diarrhea, abdominal pain, or weight loss, but does report intermittent bloating which she attributes to her diet. She has no significant past medical history and no family history of autoimmune or gastrointestinal disorders. Initial screening blood tests for celiac disease are ordered. The results show an IgA tissue transglutaminase (tTG) level of 15 U/mL (reference range <10 U/mL) and a total IgA level of 210 mg/dL (reference range 70-400 mg/dL). She is referred to a gastroenterologist for further evaluation.",This item assesses the diagnostic and management pathway for a patient with a classic presentation of celiac disease (unexplained iron deficiency anemia) but weakly positive serology. It emphasizes the confirmatory role of biopsy and the management of complications and non-responsive disease.,,,diagnosis,a definitive diagnosis of celiac disease.,"Duodenal biopsy shows Marsh 3b changes with severe villous atrophy, crypt hyperplasia, and increased intraepithelial lymphocytes.",this hypothesis becomes,"+2, +1, 0, -1, -2","In an adult with positive serology (even if weakly positive), characteristic histological findings on duodenal biopsy are considered the gold standard for confirming celiac disease. (+2)",
,,,,,,management,"initiating a strict, lifelong gluten-free diet and referring to a specialist dietitian.",A DEXA scan performed at baseline reveals osteoporosis with a T-score of -2.7 at the lumbar spine.,this action becomes,"+2, +1, 0, -1, -2","While the finding of osteoporosis requires separate management (e.g., calcium/vitamin D), it is a known complication of celiac disease. The cornerstone of treatment remains the gluten-free diet, which is essential. (+2)",
,,,,,,followup,scheduling a routine annual review to monitor symptoms and repeat serology.,"After 12 months on a self-reported strict gluten-free diet, her tTG remains elevated and her anemia has not improved.",this plan becomes,"+2, +1, 0, -1, -2",Persistent symptoms and elevated serology after a year indicate non-responsive celiac disease. A routine annual review is insufficient; this makes the plan less appropriate as more intensive investigation is needed. (-1),
Celiac_Disease,british,"A 42-year-old woman was diagnosed with celiac disease 18 months ago, confirmed by a positive IgA tissue transglutaminase (tTG) antibody test and a duodenal biopsy showing Marsh 3b villous atrophy. She was referred to a specialist dietitian and reports strict adherence to a gluten-free diet. Despite this, she continues to experience intermittent diarrhea, significant bloating, and persistent fatigue. Her follow-up blood tests show her IgA tTG has decreased from >200 U/mL to 25 U/mL (normal <15 U/mL), but has not fully normalized. Her full blood count reveals a persistent mild normocytic anemia with a hemoglobin of 11.2 g/dL (normal 12.0-15.5 g/dL) and a ferritin of 28 ng/mL (normal 15-150 ng/mL). She is frustrated with her lack of complete symptomatic resolution and is seeking advice on the next steps in her management plan.","This item explores the common clinical challenge of a patient with established celiac disease who is not responding adequately to a gluten-free diet. It tests reasoning around differential diagnosis (non-adherence vs. co-morbidities vs. refractory disease), appropriate management escalation, and comprehensive long-term care.",,,diagnosis,inadvertent gluten ingestion as the cause of her ongoing symptoms.,A detailed dietary history reveals she regularly consumes oat-based cereals that are not certified as gluten-free.,this hypothesis becomes,"+2, +1, 0, -1, -2","Inadvertent gluten exposure is the most common cause of non-responsive celiac disease. Oats are frequently cross-contaminated with wheat, making this a highly probable explanation for her symptoms. (+2)",
,,,,,,management,initiating an empirical trial of budesonide for suspected refractory celiac disease.,The patient reports her bloating and diarrhea are significantly worse after consuming milk or yogurt.,this action becomes,"+2, +1, 0, -1, -2","This new information strongly suggests secondary lactose intolerance, a common issue in active celiac disease. Addressing this is the priority, making steroid therapy for RCD inappropriate. (-2)",
,,,,,,followup,arranging a DEXA scan to assess her bone mineral density.,Her baseline vitamin D level is found to be severely deficient at 18 nmol/L.,this plan becomes,"+2, +1, 0, -1, -2","Celiac disease is a major risk factor for osteoporosis. Severe vitamin D deficiency, a key component for bone health, makes assessing her bone density essential for long-term management. (+2)",
Celiac_Disease,british,"A 42-year-old woman with a 15-year history of well-controlled Type 1 Diabetes presents to the gastroenterology clinic with a six-month history of intermittent abdominal bloating, loose stools, and profound fatigue. She has also noted unintentional weight loss of 4 kg. She has no significant family history of gastrointestinal disease. Her initial blood tests arranged by her GP show a mild microcytic anemia with hemoglobin of 11.2 g/dL and ferritin of 12 ng/mL. Her liver function tests and thyroid function are normal. Celiac serology was performed, revealing a total IgA level of 250 mg/dL (normal 70-400 mg/dL) and an IgA tissue transglutaminase (tTG) antibody level of 18 U/mL (upper limit of normal <15 U/mL). She is anxious about the possibility of having another autoimmune condition and wants to know the next steps. An upper endoscopy for duodenal biopsies has been scheduled but not yet performed.","This item focuses on the clinical reasoning required for a patient with a high pre-test probability of celiac disease but equivocal serology, emphasizing guideline-based confirmatory steps, management timing, and long-term care.",,,diagnosis,a definitive diagnosis of celiac disease.,a reflex IgA endomysial antibody (EMA) test comes back as positive.,this hypothesis becomes,"+2, +1, 0, -1, -2","In a patient with compatible symptoms and weakly positive tTG, a positive EMA is highly specific and strongly supports the diagnosis, making it much more likely. (+2)",
,,,,,,management,initiating a strict gluten-free diet prior to endoscopy.,the patient's scheduled endoscopy for duodenal biopsies is in two weeks.,this action becomes,"+2, +1, 0, -1, -2","Starting a gluten-free diet before biopsy is contraindicated as it can lead to histological remission, obscuring the diagnosis. Biopsy confirmation is essential in adults. (-2)",
,,,,,,followup,arranging a DEXA scan and pneumococcal vaccination.,"one year after diagnosis, she has had a complete symptomatic and serological response to a gluten-free diet.",this plan becomes,"+2, +1, 0, -1, -2",UK guidelines recommend assessing bone health at diagnosis and offering pneumococcal vaccination due to the risk of hyposplenism. These are essential parts of long-term care. (+2),
Celiac_Disease,british,"A 32-year-old female primary school teacher presents with a one-year history of fluctuating abdominal bloating, intermittent loose stools, and persistent fatigue. She has a past medical history of well-controlled autoimmune thyroiditis on levothyroxine. There is no significant family history of gastrointestinal disease. She has tried over-the-counter remedies for irritable bowel syndrome without relief. Initial blood tests reveal a mild normocytic anemia (Hb 11.2 g/dL), low ferritin at 18 µg/L (normal 30-200), and a normal total IgA level. Her IgA tissue transglutaminase (tTG) antibody test comes back at 15 U/mL (reference range <10 U/mL). She is referred to gastroenterology for further evaluation, feeling anxious about a potential diagnosis and the implications for her diet and lifestyle.","This item tests the approach to a weakly positive tTG, the importance of assessing for complications like osteoporosis at diagnosis, and troubleshooting non-responsive symptoms, which is commonly due to poor adherence.",,,diagnosis,a definitive diagnosis of celiac disease is required.,A duodenal biopsy is performed and shows Marsh 3b changes with crypt hyperplasia and marked villous atrophy.,this hypothesis becomes,"+2, +1, 0, -1, -2",The combination of positive serology (even if weakly positive) and confirmatory histology with significant villous atrophy is the gold standard for diagnosing celiac disease in adults. (+2),
,,,,,,management,initiating a gluten-free diet and referring her to a specialist dietitian.,"A DEXA scan, performed as part of her initial workup, reveals osteoporosis with a T-score of -2.8 at the lumbar spine.",this action becomes,"+2, +1, 0, -1, -2","The presence of osteoporosis, a significant complication of malabsorption, underscores the urgency of treatment. A gluten-free diet is essential to improve bone density and overall health. (+2)",
,,,,,,followup,arranging a follow-up endoscopy to assess for refractory celiac disease.,"Her follow-up tTG level has normalized, but she admits to finding the diet difficult and occasionally eating out without checking ingredients.",this plan becomes,"+2, +1, 0, -1, -2","Persistent symptoms with normalized serology strongly suggest ongoing, inadvertent gluten exposure, not refractory disease. The next step is dietary reinforcement, not invasive investigation. (-1)",
Celiac_Disease,british,"A 24-year-old female is referred to the gastroenterology clinic for evaluation. She was screened for celiac disease because her mother was recently diagnosed. The patient feels perfectly well, reporting no diarrhea, abdominal pain, bloating, or weight loss. She is an active runner and maintains a stable weight. Her past medical history is unremarkable, and she takes no regular medications. Initial blood tests ordered by her GP revealed a significantly elevated IgA tissue transglutaminase (tTG) level of 152 U/mL (normal <10 U/mL). Her total IgA level was normal at 210 mg/dL (normal 70-400 mg/dL). A full blood count and ferritin level were also within normal limits. An upper endoscopy has been performed, and the macroscopic appearance of the duodenum was noted as normal, with biopsy results pending. She is anxious about the potential diagnosis and what it means for her lifestyle.","This SCT item assesses reasoning in a case of asymptomatic celiac disease found via screening. It tests the definitive diagnostic criteria, the appropriate timing for dietary intervention, and the breadth of necessary long-term follow-up beyond gastrointestinal symptoms.",,,diagnosis,A definitive diagnosis of celiac disease.,The duodenal biopsy report shows Marsh 3b changes with villous atrophy and crypt hyperplasia.,this hypothesis becomes,"+2, +1, 0, -1, -2","BSG guidelines confirm the diagnosis of celiac disease in adults with positive IgA tTG and confirmatory duodenal histology, even if asymptomatic. (+2)",
,,,,,,management,Advising the patient to start a strict gluten-free diet immediately.,The patient expresses significant anxiety and states she is unwilling to change her diet without definitive proof.,this action becomes,"+2, +1, 0, -1, -2","A strict gluten-free diet should only be initiated after a definitive histological diagnosis. Starting prematurely is inappropriate, especially given the patient's reluctance. (-2)",
,,,,,,followup,Planning an annual review focused solely on serology and symptom assessment.,A baseline DEXA scan at diagnosis reveals osteopenia with a T-score of -1.8 at the lumbar spine.,this plan becomes,"+2, +1, 0, -1, -2",The finding of osteopenia makes a follow-up plan focused only on symptoms and serology inadequate. Bone health monitoring now becomes an essential component. (-1),
